"question","entity","topic","answer_type","source_layer"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist KOCHEN?",,"KOCHEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist BACKEN?",,"BACKEN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist COMMUNITY?",,"COMMUNITY","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist MAGAZIN?",,"MAGAZIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Was ist ALLGEMEIN?",,"ALLGEMEIN","INFORMATION","KNOWLEDGE_GRAPH"
"Wie finde ich Index of locally available sites:?","CONTENT_ENTITY","Index of locally available sites:","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Salat im Glas: praktisch und lecker?","CONTENT_ENTITY","Salat im Glas: praktisch und lecker","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Spaghetti in Schinken-Sahne-SoÃŸe?","CONTENT_ENTITY","Spaghetti in Schinken-Sahne-SoÃŸe","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Saftiges GebÃ¤ck mit Aprikosen?","CONTENT_ENTITY","Saftiges GebÃ¤ck mit Aprikosen","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Gesunde ErnÃ¤hrung im Alltag?","CONTENT_ENTITY","Gesunde ErnÃ¤hrung im Alltag","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Wir suchen eure liebsten Urlaubsrezepte!?","CONTENT_ENTITY","Wir suchen eure liebsten Urlaubsrezepte!","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Kohlrabi â€“ Knolle mit frischem Aroma?","CONTENT_ENTITY","Kohlrabi â€“ Knolle mit frischem Aroma","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Empfange unsere Rezepte kostenlos auf deinem Smartphone?","CONTENT_ENTITY","Empfange unsere Rezepte kostenlos auf deinem Smartphone","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Die besten Nudelsalate bei Chefkoch?","CONTENT_ENTITY","Die besten Nudelsalate bei Chefkoch","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Jetzt einfach alle Rezepte importieren?","CONTENT_ENTITY","Jetzt einfach alle Rezepte importieren","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Hilf uns, CHEFKOCH noch besser zu machen?","CONTENT_ENTITY","Hilf uns, CHEFKOCH noch besser zu machen","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Rezept des Tages?","CONTENT_ENTITY","Rezept des Tages","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Highlights der Redaktion?","CONTENT_ENTITY","Highlights der Redaktion","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Inspiration fÃ¼r jeden Tag?","CONTENT_ENTITY","Inspiration fÃ¼r jeden Tag","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Inspiration aus der Redaktion?","CONTENT_ENTITY","Inspiration aus der Redaktion","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Unsere Themenwelten?","CONTENT_ENTITY","Unsere Themenwelten","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Neue Sammlungen?","CONTENT_ENTITY","Neue Sammlungen","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Schon probiert??","CONTENT_ENTITY","Schon probiert?","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Trends im August?","CONTENT_ENTITY","Trends im August","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Dein Chefkoch PLUS?","CONTENT_ENTITY","Dein Chefkoch PLUS","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Leckere Rezepte von Profis?","CONTENT_ENTITY","Leckere Rezepte von Profis","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Aktuell beliebte Rezepte?","CONTENT_ENTITY","Aktuell beliebte Rezepte","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Wir lieben backen?","CONTENT_ENTITY","Wir lieben backen","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Vegetarisch &amp; vegan?","CONTENT_ENTITY","Vegetarisch &amp; vegan","NAVIGATION","HEADING_GRAPH"
"Wie finde ich Neue Rezepte?","CONTENT_ENTITY","Neue Rezepte","NAVIGATION","HEADING_GRAPH"
